idx,instance_key,H_prime,V_prime,source
91,f3652611eecd7578251651b104dba16c,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;5;11;12;3;10;6;6;10;1;9;0;5;11;0;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_091.json
92,fdb9c9c911bab9de6d09596b9aed1493,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;7;12;9,graphs/n12/misr_filtered_092.json
93,6dd2425e6373670bbac080b07ec96aa2,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;11;5;12;0;3;10;6;6;10;1;9;0;11;5;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_093.json
94,afad608b62b776aacb21b9802ebd1b98,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;5;11;0;12;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_094.json
95,e04acb77fc3e81f5f4f03ec2952b4571,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;5;11;12;0;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;7;2;1;0;12;7;9,graphs/n12/misr_filtered_095.json
96,e14479f0909f82c289a270f52229da59,1;2;0;0;3;4;5;1;6;5;7;8;8;2;9;6;10;11;0;11;10;12;12;3;7;4;9,8;3;5;10;12;0;3;9;6;6;9;1;11;0;5;10;4;4;2;8;0;7;2;1;0;12;7;11,graphs/n12/misr_filtered_096.json
97,8d6976e283f7d7cadef885f47203ae7d,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_097.json
98,4ce06db1e12f2ffefd2a03b50e0e0fdc,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_098.json
99,f9ca7a9d332fe33c0018e1f31e40ab2a,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;12;11;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_099.json
100,e5214630c50515bca0956f12779fcfbe,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;12;0;11;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_100.json
101,feff57d29d690cbc2f5959c71dbdf2e1,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;10;4;7;0;12;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_101.json
102,158f25b40fdd6cc37f81718fa62b4e83,1;2;3;0;0;4;5;6;1;6;7;8;8;2;9;10;4;11;0;9;11;12;12;0;7;5;10;3,8;3;6;11;12;0;3;10;4;4;10;1;9;0;6;11;5;5;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_102.json
103,430b2c6040485e66cefb6fea40ab529a,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;11;5;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_103.json
104,a2267d4fbee0159cfa6c8daf323277ab,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;5;11;4;4;2;8;0;7;2;1;0;0;12;7;9,graphs/n12/misr_filtered_104.json
105,cf086ab033bcd5605f97a3d32b3bec6e,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,5;11;12;0;8;3;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_105.json
106,e7059d4e40801804f78d1789c540f52d,1;2;3;4;0;0;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_106.json
107,0a8c120af20825ef53a2e1f6da76aa55,1;2;3;0;0;4;5;1;6;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;7;12;9,graphs/n12/misr_filtered_107.json
108,4d3d66aceffe3e4de7872a821395fa6d,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;0;7;4;10;3;12,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_108.json
109,cd85ba78a865053d6dea3f855d5677fa,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;0;2;8;0;7;2;1;12;7;9,graphs/n12/misr_filtered_109.json
110,934d126b88d2c6a2fd97f079ad381e23,1;2;3;4;0;0;5;6;1;3;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;5,8;5;3;11;12;0;5;10;6;6;10;1;9;0;3;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_110.json
111,f422807e88084c6aed062f207e93d3c6,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;0;8;7;2;1;0;12;7;9,graphs/n12/misr_filtered_111.json
112,dbdfcb12cebd8074292a3223ccc0e054,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;3;4;10;7,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_112.json
113,522d2035a76aa86a4d637ddad652220c,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;12;3;5;11;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_113.json
114,c550a4ce0597444a5c3cf53b81e4a798,1;2;3;4;0;5;0;6;1;4;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;5;10;3,8;3;4;11;12;0;3;10;6;6;10;1;9;0;4;11;5;5;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_114.json
115,2c98a1aea6e26bb501788e61c1d65103,1;2;3;0;4;0;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_115.json
116,3f40883662d20b34f5fe85e6dbcbaea0,1;0;0;2;3;4;5;6;1;5;7;8;8;3;9;10;6;11;0;9;11;12;12;0;7;4;10;2,8;2;5;11;12;0;2;10;6;6;10;1;9;0;5;11;4;4;3;8;0;7;3;1;0;12;7;9,graphs/n12/misr_filtered_116.json
117,233c0f7fd161abe2d806e766bbc39ea2,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;5;0;9;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_117.json
118,31562b51b3a6205f3a03a5eea29a0eb7,1;0;0;2;3;4;5;6;4;5;7;8;8;3;9;10;6;11;0;9;11;12;12;0;7;1;10;2,8;2;5;11;12;0;2;10;6;6;10;4;9;0;5;11;1;1;3;8;0;7;3;4;0;12;7;9,graphs/n12/misr_filtered_118.json
119,6313cb8a09382d7ca2ec758e780651a5,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_119.json
120,dee6d47b144f1765291196156e2b9a14,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;5;11;4;0;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_120.json
121,f979cc8687a41b3211588d1db0ba4e92,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_121.json
122,dff267ab0749d6343aec9be625127b3c,1;2;3;0;0;4;5;6;4;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;1;10;3,8;3;5;11;12;0;3;10;6;6;10;4;9;0;5;11;1;1;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_122.json
123,10eed5b84500790068efca65355e4eb4,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;0;9;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_123.json
124,42e6f05d643b0848ef39b1828c421a1e,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;0;12;11;5;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_124.json
125,bfde003f07efbed0d2b06e23bbba897a,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;0;12;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_125.json
126,84d3cb01c6fe9c4eaec6e74c8fb590b5,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;3;12;0;7;4;10,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_126.json
127,024b11fc5174e73fc1a02c3c81f1a29d,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;11;5;12;0;3;10;6;6;10;1;9;0;11;5;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_127.json
128,22ef6471b599af6dc79276b46fee6f72,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;7;0;12;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_128.json
129,ca1f0987764bf1f56d514683a76b607c,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;9;2;1;0;12;7,graphs/n12/misr_filtered_129.json
130,9e8dcaa427cfc955e61127e5e2d29c33,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;5;3;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_130.json
131,0454a7599a6c4f1940b498ea527d6907,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;10;11;12;12;0;7;4;9;3,8;3;5;11;12;0;3;9;6;6;9;1;10;0;5;11;4;4;2;8;0;7;2;1;0;12;7;10,graphs/n12/misr_filtered_131.json
132,9d7f3e7ce48337aee6f93dfc1e3ec70f,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_132.json
133,84653ad25a1ce4a56677839b6f42b9dc,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;0;12;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;12;0;7;9,graphs/n12/misr_filtered_133.json
134,ea6a9b126e67bc2218498b3fdf311a8d,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;0;1;9;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_134.json
135,15768f695f518a4522af84ec2ecd6152,1;2;3;4;5;0;0;6;1;4;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;5;10;3,8;3;4;11;12;0;3;10;6;6;10;0;9;1;4;11;5;5;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_135.json
136,7f89f143365ad75c2f07b4af57ef699a,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;0;12;11;5;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_136.json
137,e8f63828dc29996221d2615b7ae1c1d5,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;7;12;9,graphs/n12/misr_filtered_137.json
138,41fb6f40f12cff2c6d574243df8ef222,1;2;3;0;0;4;5;6;1;7;6;8;8;2;9;10;7;11;0;9;11;12;12;0;5;4;10;3,8;3;6;11;12;0;3;10;7;7;10;0;9;1;6;11;4;4;2;8;1;5;2;0;0;12;5;9,graphs/n12/misr_filtered_138.json
139,e9bbff4d9e6c34864cd6fcf8d166c159,1;2;3;0;0;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;5;3;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_139.json
140,8641587581b58a3c72e298936e8f14c6,1;2;0;0;3;4;5;6;1;5;7;8;8;2;9;10;6;11;0;9;11;12;12;3;7;4;10,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_140.json
141,dbe00f83e182638d2615513e9866a0c1,1;2;3;0;0;4;5;6;1;2;7;8;8;5;9;10;6;11;0;9;11;12;12;0;7;3;10;4,8;4;2;11;12;0;4;10;6;6;10;0;9;1;2;11;3;3;5;8;1;7;5;0;0;12;7;9,graphs/n12/misr_filtered_141.json
142,8788aa6eac343d702db5c8906401553e,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;0;11;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_142.json
143,a20322d7a19c32d58f3896ebf7ab04ee,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;12;5;11;3;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_143.json
144,efaedc5132855a88f2eac92ce2f8b5e3,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;9;0;1;5;11;4;4;2;8;1;7;2;9;0;12;7,graphs/n12/misr_filtered_144.json
145,6f32cb0e3825ca5d08919e8c63a7e568,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;0;12;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_145.json
146,25c452c5ba87c0de4ee01fc645b51429,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,0;8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;12;7;9,graphs/n12/misr_filtered_146.json
147,243aac7807bf73e63499ceb9900946c0,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;3;0;7;4;10;12,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_147.json
148,58417d0758aa7c1f4d2fa737aad459c5,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;7;0;12;0;9,graphs/n12/misr_filtered_148.json
149,1c329cb048cf2e5f28ca14f49de59e7e,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;0;3;10;6;6;10;1;9;0;5;11;4;4;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_149.json
150,47337ae592161cb6464ce7391d22f492,1;2;3;0;0;4;5;6;5;1;7;8;8;2;9;10;6;11;0;9;11;12;12;0;7;4;10;3,8;3;5;11;12;3;10;0;6;6;10;0;9;1;5;11;4;4;2;8;1;7;2;0;0;12;7;9,graphs/n12/misr_filtered_150.json
151,394df25a92cc78b9cbe92dd58fa9439b,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_151.json
152,85177331c8fd8ce5df97eda7368a9ea5,1;2;3;4;5;6;7;5;7;8;9;4;9;10;11;1;12;0;10;12;0;13;13;3;8;6;11;2,9;3;7;12;13;0;3;1;11;11;1;5;10;2;7;12;6;6;4;9;2;8;4;5;0;13;8;10,graphs/n12/misr_filtered_152.json
153,3fd545959be0702c3813915964c45a24,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;4;11;12;0;3;1;10;10;1;6;9;0;4;11;5;5;2;8;0;7;2;6;0;12;7;9,graphs/n12/misr_filtered_153.json
154,26aac6d891c496a65a5d58de7b1882c4,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;7;12;9,graphs/n12/misr_filtered_154.json
155,ce7eb30ed0bbb6f64f02a32f071620aa,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;12;12;0;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_155.json
156,ffff90fe728849e590af8f73100a8bf9,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;12;0;12;3;7;5;10,8;3;6;11;0;12;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;12;0;7;9,graphs/n12/misr_filtered_156.json
157,3900348f60db82a469f10a3fceaa47a0,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;9;4;0;12;7;2,graphs/n12/misr_filtered_157.json
158,061f0827c945bb3bd73d16a098395179,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;9;7;12;0;4,graphs/n12/misr_filtered_158.json
159,85d2d94c04d967c0c1e697b834ff71ad,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;0;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_159.json
160,f7c89df147d0e7c315e2505b5aeac5e3,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;0;9;4;6;11;5;5;2;8;4;7;2;0;0;12;7;9,graphs/n12/misr_filtered_160.json
161,2cbe1b4b3cd4d5234352411055ce38a8,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;9;7,graphs/n12/misr_filtered_161.json
162,559c12c5fe1490f7b5b08b7cfc80bac4,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;12;0;7;9,graphs/n12/misr_filtered_162.json
163,f6de6604a52df57dc8d39014d021f5c7,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;0;11;9;0;11;12;12;3;7;5;10,8;3;6;0;12;11;3;1;10;10;1;4;9;11;6;0;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_163.json
164,798821c35849c6294d2e4847f69ee5aa,1;2;0;3;4;5;4;6;5;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;6;10,8;3;4;11;12;0;3;1;10;10;1;5;9;0;4;11;6;6;2;8;0;7;2;5;0;12;7;9,graphs/n12/misr_filtered_164.json
165,0650526947d7d2fbcc8eecfdc322ada8,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;11;6;3;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_165.json
166,8b79c4700bb311c397c53176b108a064,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;12;0;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_166.json
167,af570a2954211076560c7af0c9044661,1;2;3;4;0;5;6;6;4;7;8;2;8;9;10;1;11;0;9;11;0;12;12;5;7;3;10,8;5;4;11;12;0;5;1;10;10;1;6;9;0;4;11;3;3;2;8;0;7;2;6;0;12;7;9,graphs/n12/misr_filtered_167.json
168,ed93b446a4ea861bc40e62a912fce04a,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;11;0;9;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_168.json
169,74f3ada2c6a2f701bbcc1b131e2d3ce0,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;0;11;9;0;11;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_169.json
170,ad2b12b27f9b055efd8b951bb984faba,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;4;8;0;7;2;0;12;7;9,graphs/n12/misr_filtered_170.json
171,4806328b441ca4b2b1e3c8b319f596e4,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;10,8;3;6;11;12;0;3;1;10;10;1;4;9;11;6;0;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_171.json
172,79d4b5033719e7cab609b776f17c2ff6,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;0;11;9;0;11;12;12;3;7;5;10,8;3;6;0;12;11;3;1;10;10;1;4;9;0;6;11;0;5;5;2;8;0;7;2;4;12;7;9,graphs/n12/misr_filtered_172.json
173,f758530d82f116e7e7a0fc1ca68871fa,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;10;0;5;7,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_173.json
174,3e022f5ba8555e7b290c7b4159661190,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;0;11;12;12;3;7;5;0;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_174.json
175,374866ca04599f6b5e11f295f4ee794a,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;3;12;7;5;0;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_175.json
176,0c96668aad1ca4b686e2f33b0ffe5283,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;0;11;9;0;11;12;12;3;7;5;0;10,8;3;6;0;12;11;3;1;10;10;1;4;9;11;6;0;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_176.json
177,97ed814653dadc2ed0ca09ebe1a0b40f,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;0;5;7;3;10,8;3;6;11;12;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_177.json
178,f08d93ebaf1a9555a0ef343f6082f05e,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;0;10,8;3;6;11;0;12;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_178.json
179,7dfc901432833337d786d999a87b79d1,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;0;10,8;3;11;6;12;0;3;1;10;10;1;4;9;0;11;6;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_179.json
180,27c55f9139a1b476666c555b313bdedb,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;0;11;9;0;11;12;12;3;7;5;0;10,8;3;6;0;12;11;3;1;10;10;1;4;9;0;6;11;0;5;5;2;8;0;7;2;4;12;7;9,graphs/n12/misr_filtered_180.json
181,b7757c5d493c7a607753265540ddfcfc,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;1;11;0;9;11;0;12;12;3;7;5;0;10,3;6;11;12;8;0;3;1;10;10;1;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_181.json
